Fungal species,"Ring
Diameter
(m)","Specific Growth
Rate","Age 
",Year of Establishment
Agaricus aff. lilaceps,272,0.26,522,1500
Agaricus aff. lilaceps,94,0.26,180,1842
Agaricus aff. lilaceps,45,0.26,86,1936
A. argenteus,43,0.218,98,1924
A. argenteus,41,0.218,94,1928
A. argenteus,39,0.218,89,1933
A. argenteus,35,0.218,80,1942
A. argenteus,34,0.218,78,1944
A. argenteus,32,0.218,73,1949
A. argenteus,32,0.218,73,1949
A. argenteus,30,0.218,69,1953
A. argenteus,29,0.218,66,1956
A. argenteus,29,0.218,66,1956
A. argenteus,26,0.218,61,1961
A. argenteus,26,0.218,59,1963
A. argenteus,25,0.218,57,1965
A. argenteus,24,0.218,55,1967
A. argenteus,24,0.218,55,1967
A. argenteus,23,0.218,53,1969
A. argenteus,22,0.218,50,1972
A. argenteus,21,0.218,48,1974
A. argenteus,21,0.218,48,1974
A. argenteus,20,0.218,47,1975
A. argenteus,19,0.218,43,1979
A. argenteus,19,0.218,43,1979
A. argenteus,19,0.218,43,1979
A. argenteus,19,0.218,43,1979
A. argenteus,18,0.218,42,1980
A. argenteus,18,0.218,42,1980
A. argenteus,18,0.218,42,1980
A. argenteus,18,0.218,41,1981
A. argenteus,18,0.218,41,1981
A. argenteus,17,0.218,40,1982
A. argenteus,17,0.218,40,1982
A. argenteus,17,0.218,40,1982
A. argenteus,17,0.218,39,1983
A. argenteus,17,0.218,39,1983
A. argenteus,17,0.218,38,1984
A. argenteus,16,0.218,37,1985
A. argenteus,16,0.218,37,1985
A. argenteus,15,0.218,34,1988
A. argenteus,15,0.218,34,1988
A. argenteus,15,0.218,34,1988
A. argenteus,15,0.218,34,1988
A. argenteus,15,0.218,34,1988
A. argenteus,14,0.218,32,1990
A. argenteus,14,0.218,32,1990
A. argenteus,14,0.218,32,1990
A. argenteus,13,0.218,31,1991
A. argenteus,13,0.218,30,1992
A. argenteus,13,0.218,30,1992
A. argenteus,13,0.218,30,1992
A. argenteus,13,0.218,30,1992
A. argenteus,13,0.218,30,1992
A. argenteus,12,0.218,28,1994
A. argenteus,12,0.218,28,1994
A. argenteus,12,0.218,28,1994
A. argenteus,12,0.218,28,1994
A. argenteus,12,0.218,28,1994
A. argenteus,12,0.218,28,1994
A. argenteus,12,0.218,28,1994
A. argenteus,12,0.218,27,1995
A. argenteus,12,0.218,27,1995
A. argenteus,12,0.218,27,1995
A. argenteus,12,0.218,27,1995
A. argenteus,11,0.218,26,1996
A. argenteus,11,0.218,26,1996
A. argenteus,11,0.218,25,1997
A. argenteus,11,0.218,25,1997
A. argenteus,11,0.218,25,1997
A. argenteus,11,0.218,25,1997
A. argenteus,11,0.218,25,1997
A. argenteus,11,0.218,25,1997
A. argenteus,11,0.218,25,1997
A. argenteus,11,0.218,25,1997
A. argenteus,11,0.218,25,1997
A. argenteus,10,0.218,24,1998
A. argenteus,10,0.218,24,1998
A. argenteus,10,0.218,24,1998
A. argenteus,10,0.218,23,1999
A. argenteus,10,0.218,23,1999
A. argenteus,10,0.218,23,1999
A. argenteus,10,0.218,23,1999
A. argenteus,10,0.218,23,1999
A. argenteus,10,0.218,23,1999
A. argenteus,10,0.218,23,1999
A. argenteus,10,0.218,23,1999
A. argenteus,9,0.218,20,2002
A. argenteus,9,0.218,20,2002
A. argenteus,9,0.218,20,2002
A. argenteus,9,0.218,20,2002
A. argenteus,9,0.218,20,2002
A. argenteus,8,0.218,19,2003
A. argenteus,8,0.218,19,2003
A. argenteus,8,0.218,19,2003
A. argenteus,8,0.218,19,2003
A. argenteus,8,0.218,19,2003
A. argenteus,8,0.218,18,2004
A. argenteus,8,0.218,18,2004
A. argenteus,8,0.218,18,2004
A. argenteus,8,0.218,18,2004
A. argenteus,8,0.218,18,2004
A. argenteus,8,0.218,18,2004
A. argenteus,7,0.218,17,2005
A. argenteus,7,0.218,17,2005
A. argenteus,7,0.218,17,2005
A. argenteus,7,0.218,16,2006
A. argenteus,7,0.218,16,2006
A. argenteus,7,0.218,16,2006
A. argenteus,7,0.218,16,2006
A. argenteus,7,0.218,16,2006
A. argenteus,7,0.218,16,2006
A. argenteus,7,0.218,16,2006
A. argenteus,7,0.218,16,2006
A. argenteus,7,0.218,16,2006
